user_id,date,amount,operator,status,days_validity,source_type
u001,2026-02-05,239,Jio,SUCCESS,28,synthetic
u001,2026-03-05,239,Jio,SUCCESS,28,synthetic
u001,2026-04-03,299,Jio,SUCCESS,28,synthetic
u001,2026-05-03,299,Jio,SUCCESS,28,synthetic
u001,2026-06-02,299,Jio,SUCCESS,28,synthetic
u001,2026-07-02,299,Jio,SUCCESS,28,synthetic
u002,2026-02-03,99,Airtel,SUCCESS,14,synthetic
u002,2026-02-17,49,Airtel,SUCCESS,7,synthetic
u002,2026-03-28,155,Airtel,FAILED,24,synthetic
u002,2026-04-01,99,Airtel,SUCCESS,14,synthetic
u002,2026-05-24,49,Airtel,SUCCESS,7,synthetic
u002,2026-07-19,99,Airtel,SUCCESS,14,synthetic
u003,2026-02-10,399,Vi,SUCCESS,56,synthetic
u003,2026-04-08,399,Vi,SUCCESS,56,synthetic
u003,2026-06-04,399,Vi,SUCCESS,56,synthetic
u003,2026-07-22,179,Vi,SUCCESS,28,synthetic
u004,2026-02-01,199,Jio,SUCCESS,23,synthetic
u004,2026-02-25,179,Jio,SUCCESS,23,synthetic
u004,2026-03-21,199,Jio,SUCCESS,23,synthetic
u004,2026-04-20,155,Jio,SUCCESS,24,synthetic
u004,2026-05-26,239,Jio,SUCCESS,28,synthetic
u004,2026-07-02,199,Jio,SUCCESS,23,synthetic
u005,2026-02-06,299,Airtel,SUCCESS,28,synthetic
u005,2026-03-07,299,Airtel,SUCCESS,28,synthetic
u005,2026-04-05,299,Airtel,SUCCESS,28,synthetic
u005,2026-05-05,299,Airtel,SUCCESS,28,synthetic
u005,2026-06-03,299,Airtel,SUCCESS,28,synthetic
u005,2026-07-03,299,Airtel,SUCCESS,28,synthetic
u006,2026-02-14,599,Jio,SUCCESS,84,synthetic
u006,2026-05-11,599,Jio,SUCCESS,84,synthetic
u006,2026-07-22,99,Jio,SUCCESS,14,synthetic
u007,2026-02-12,179,Vi,SUCCESS,28,synthetic
u007,2026-03-13,179,Vi,SUCCESS,28,synthetic
u007,2026-04-15,179,Vi,SUCCESS,28,synthetic
u007,2026-05-15,179,Vi,SUCCESS,28,synthetic
u007,2026-06-17,179,Vi,SUCCESS,28,synthetic
u007,2026-07-16,179,Vi,SUCCESS,28,synthetic
u008,2026-02-02,719,Airtel,SUCCESS,84,synthetic
u008,2026-04-28,719,Airtel,SUCCESS,84,synthetic
u008,2026-07-20,719,Airtel,SUCCESS,84,synthetic
u009,2026-02-08,155,Jio,SUCCESS,24,synthetic
u009,2026-03-04,99,Jio,SUCCESS,14,synthetic
u009,2026-03-25,155,Jio,SUCCESS,24,synthetic
u009,2026-05-09,99,Jio,FAILED,14,synthetic
u009,2026-05-13,155,Jio,SUCCESS,24,synthetic
u009,2026-07-01,99,Jio,SUCCESS,14,synthetic
u010,2026-02-09,239,Airtel,SUCCESS,28,synthetic
u010,2026-03-09,239,Airtel,SUCCESS,28,synthetic
u010,2026-04-07,239,Airtel,SUCCESS,28,synthetic
u010,2026-05-07,239,Airtel,SUCCESS,28,synthetic
u010,2026-06-05,239,Airtel,SUCCESS,28,synthetic
u010,2026-07-05,239,Airtel,SUCCESS,28,synthetic
u011,2026-02-04,299,Jio,SUCCESS,28,synthetic
u011,2026-03-04,299,Jio,SUCCESS,28,synthetic
u011,2026-04-02,299,Jio,SUCCESS,28,synthetic
u011,2026-05-02,299,Jio,SUCCESS,28,synthetic
u011,2026-06-01,299,Jio,SUCCESS,28,synthetic
u011,2026-07-01,299,Jio,SUCCESS,28,synthetic
u012,2026-02-11,49,Vi,SUCCESS,7,synthetic
u012,2026-03-30,99,Vi,SUCCESS,14,synthetic
u012,2026-04-02,49,Vi,FAILED,7,synthetic
u012,2026-05-29,99,Vi,SUCCESS,14,synthetic
u012,2026-07-21,49,Vi,SUCCESS,7,synthetic
